Q2	x	CD2/CH2
1.0039	0.125	1.125
1.0039	0.175	1.122
1.0039	0.225	1.122
1.1985	0.125	1.124
1.1985	0.175	1.120
1.1985	0.225	1.119
1.1985	0.275	1.120
1.4307	0.125	1.124
1.4307	0.175	1.119
1.4307	0.225	1.116
1.4307	0.275	1.117
1.7079	0.125	1.124
1.7079	0.175	1.119
1.7079	0.225	1.116
1.7079	0.275	1.114
1.7079	0.325	1.115
2.0389	0.125	1.125
2.0389	0.175	1.120
2.0389	0.225	1.117
2.0389	0.275	1.114
2.0389	0.325	1.113
2.0389	0.375	1.112
2.4340	0.175	1.122
2.4340	0.225	1.119
2.4340	0.275	1.116
2.4340	0.325	1.114
2.4340	0.375	1.111
2.4340	0.425	1.108
2.9056	0.175	1.125
2.9056	0.225	1.122
2.9056	0.275	1.118
2.9056	0.325	1.115
2.9056	0.375	1.112
2.9056	0.425	1.109
2.9056	0.475	1.103
3.4687	0.225	1.124
3.4687	0.275	1.120
3.4687	0.325	1.116
3.4687	0.375	1.113
3.4687	0.425	1.109
3.4687	0.475	1.104
3.4687	0.525	1.098
4.1408	0.275	1.121
4.1408	0.325	1.118
4.1408	0.375	1.113
4.1408	0.425	1.109
4.1408	0.475	1.104
4.1408	0.525	1.099
4.9432	0.325	1.118
4.9432	0.375	1.114
4.9432	0.425	1.109
4.9432	0.475	1.104
4.9432	0.525	1.100
4.9432	0.575	1.094
5.9011	0.375	1.113
5.9011	0.425	1.108
5.9011	0.475	1.103
5.9011	0.525	1.099
5.9011	0.575	1.094
5.9011	0.625	1.089
7.0446	0.425	1.108
7.0446	0.475	1.103
7.0446	0.525	1.098
7.0446	0.575	1.094
7.0446	0.625	1.090
7.0446	0.675	1.086
8.4096	0.525	1.097
8.4096	0.575	1.093
8.4096	0.625	1.090
8.4096	0.675	1.088
8.4096	0.725	1.085
10.0392	0.675	1.087
10.0392	0.725	1.088
